device,family,type,precision,model_file,input_size,n_images,accuracy,f1_macro,recall_healthy,recall_early_blight,recall_late_blight,fn_critical_late_to_healthy,lat_mean_ms,lat_std_ms,lat_p50_ms,lat_p90_ms,lat_p95_ms,lat_p99_ms,throughput_fps,peak_rss_mb,model_size_mb,wall_time_s,energy_proxy_rel,temp_mean_C,temp_max_C,freq_mean_MHz,freq_min_MHz,throttling_observed,acc_by_source,lat_compute_only_ms,lat_h2d_ms,lat_d2h_ms,gpu_mem_mb,p_idle_w,p_avg_w,p_max_w,p_compute_avg_w,energy_total_j,e_per_inf_j,e_per_inf_net_j,inf_per_wh,n_power_samples
jetson_orin_nano,EfficientFormerV2-S0,Hybrid,fp16,efficientformerv2_s0_fp16.engine,224,750,0.9653,0.966,0.9958,0.958,0.9438,0,2.72,0.049,2.7,2.791,2.802,2.829,367.6,332.3,8.11,13.68,,,,,,,"{""mendeley_ue"": 0.8857, ""plantvillage"": 1.0, ""quizhpe"": 0.9583, ""tilahun"": 1.0}",2.589,0.099,0.033,0.0,5.316,6.657,6.853,2.142,90.38,0.1205,0.0243,29874.0,125
jetson_orin_nano,EfficientFormerV2-S0,Hybrid,fp32,efficientformerv2_s0_fp32.engine,224,750,0.9653,0.966,0.9958,0.958,0.9438,0,3.226,0.045,3.205,3.288,3.296,3.319,310.02,354.1,14.82,13.92,,,,,,,"{""mendeley_ue"": 0.8857, ""plantvillage"": 1.0, ""quizhpe"": 0.9583, ""tilahun"": 1.0}",3.097,0.096,0.032,0.0,5.316,7.051,7.328,2.325,97.128,0.1295,0.0318,27798.4,127
jetson_orin_nano,EfficientFormerV2-S0,Hybrid,int8,efficientformerv2_s0_int8.engine,224,750,0.956,0.9568,0.9707,0.9656,0.9317,0,2.897,0.044,2.882,2.957,2.966,2.986,345.19,440.6,8.34,13.67,,,,,,,"{""mendeley_ue"": 0.8667, ""plantvillage"": 0.993, ""quizhpe"": 0.9583, ""tilahun"": 1.0}",2.768,0.097,0.032,0.0,5.316,6.616,6.774,2.128,89.701,0.1196,0.0235,30099.9,125
jetson_orin_nano,EfficientNetV2-B0,CNN,fp16,efficientnetv2_b0_fp16.engine,224,750,0.952,0.953,0.9749,0.9313,0.9518,0,2.491,0.048,2.472,2.555,2.564,2.597,401.5,454.7,13.53,13.36,,,,,,,"{""mendeley_ue"": 0.8762, ""plantvillage"": 0.979, ""quizhpe"": 0.9792, ""tilahun"": 1.0}",2.362,0.096,0.033,0.0,5.316,6.653,6.853,2.098,88.755,0.1183,0.0238,30420.9,123
jetson_orin_nano,EfficientNetV2-B0,CNN,fp32,efficientnetv2_b0_fp32.engine,224,750,0.952,0.953,0.9749,0.9313,0.9518,0,3.315,0.049,3.297,3.383,3.393,3.408,301.62,459.9,24.65,13.96,,,,,,,"{""mendeley_ue"": 0.8762, ""plantvillage"": 0.979, ""quizhpe"": 0.9792, ""tilahun"": 1.0}",3.188,0.097,0.031,0.0,5.316,6.994,7.289,2.299,97.106,0.1295,0.031,27804.8,128
jetson_orin_nano,EfficientNetV2-B0,CNN,int8,efficientnetv2_b0_int8.engine,224,750,0.9507,0.9516,0.9707,0.9275,0.9558,0,2.149,0.047,2.128,2.216,2.22,2.237,465.36,467.6,8.24,13.06,,,,,,,"{""mendeley_ue"": 0.8762, ""plantvillage"": 0.9766, ""quizhpe"": 0.9792, ""tilahun"": 1.0}",2.026,0.095,0.029,0.0,5.316,6.418,6.536,1.961,82.797,0.1104,0.019,32609.8,119
jetson_orin_nano,MobileNetV4-Small,CNN,fp16,mobilenetv4_conv_small_fp16.engine,224,750,0.944,0.9451,0.9498,0.958,0.9237,0,1.212,0.055,1.189,1.288,1.293,1.311,825.11,467.8,5.4,12.38,,,,,,,"{""mendeley_ue"": 0.8381, ""plantvillage"": 0.9907, ""quizhpe"": 0.9375, ""tilahun"": 0.9844}",1.089,0.095,0.028,0.0,5.316,6.315,6.417,1.863,77.34,0.1031,0.0163,34910.9,113
jetson_orin_nano,MobileNetV4-Small,CNN,fp32,mobilenetv4_conv_small_fp32.engine,224,750,0.944,0.9451,0.9498,0.958,0.9237,0,1.46,0.059,1.435,1.539,1.547,1.575,684.76,467.9,10.51,12.56,,,,,,,"{""mendeley_ue"": 0.8381, ""plantvillage"": 0.9907, ""quizhpe"": 0.9375, ""tilahun"": 0.9844}",1.337,0.095,0.028,0.0,5.316,6.426,6.536,1.929,80.114,0.1068,0.0185,33702.0,115
jetson_orin_nano,MobileNetV4-Small,CNN,int8,mobilenetv4_conv_small_int8.engine,224,750,0.9427,0.9438,0.954,0.9504,0.9237,0,1.079,0.045,1.058,1.143,1.147,1.162,926.46,470.0,3.35,12.26,,,,,,,"{""mendeley_ue"": 0.8333, ""plantvillage"": 0.9907, ""quizhpe"": 0.9375, ""tilahun"": 0.9844}",0.957,0.096,0.027,0.0,5.316,6.256,6.338,1.822,75.957,0.1013,0.0152,35546.3,112
jetson_orin_nano,RepViT-M1,Hybrid,fp16,repvit_m1_fp16.engine,224,750,0.9667,0.9672,0.9958,0.9733,0.9317,0,2.508,0.053,2.485,2.58,2.588,2.611,398.68,471.4,10.82,13.35,,,,,,,"{""mendeley_ue"": 0.8952, ""plantvillage"": 1.0, ""quizhpe"": 0.9375, ""tilahun"": 1.0}",2.381,0.096,0.031,0.0,5.316,6.642,6.813,2.125,87.872,0.1172,0.0234,30726.7,122
