device,family,type,precision,model_file,input_size,n_images,accuracy,f1_macro,recall_healthy,recall_early_blight,recall_late_blight,fn_critical_late_to_healthy,lat_mean_ms,lat_std_ms,lat_p50_ms,lat_p90_ms,lat_p95_ms,lat_p99_ms,throughput_fps,peak_rss_mb,model_size_mb,wall_time_s,energy_proxy_rel,temp_mean_C,temp_max_C,freq_mean_MHz,freq_min_MHz,throttling_observed,acc_by_source,lat_compute_only_ms,lat_h2d_ms,lat_d2h_ms,gpu_mem_mb,p_idle_w,p_avg_w,p_max_w,p_compute_avg_w,energy_total_j,e_per_inf_j,e_per_inf_net_j,inf_per_wh,n_power_samples
jetson_orin_nano,EfficientFormerV2-S0,Hybrid,fp16,efficientformerv2_s0_fp16.engine,224,750,0.9867,0.9869,1.0,0.9733,0.988,0,2.695,0.049,2.671,2.762,2.772,2.795,371.1,315.9,8.15,13.73,,,,,,,"{""mendeley_ue"": 0.9571, ""plantvillage"": 1.0, ""quizhpe"": 0.9792, ""tilahun"": 1.0}",2.563,0.1,0.032,0.0,5.39,6.754,7.606,2.223,91.843,0.1225,0.0247,29398.1,125
jetson_orin_nano,EfficientFormerV2-S0,Hybrid,fp32,efficientformerv2_s0_fp32.engine,224,750,0.9867,0.9869,1.0,0.9733,0.988,0,3.244,0.05,3.218,3.312,3.321,3.338,308.24,338.6,14.84,14.06,,,,,,,"{""mendeley_ue"": 0.9571, ""plantvillage"": 1.0, ""quizhpe"": 0.9792, ""tilahun"": 1.0}",3.116,0.097,0.031,0.0,5.39,7.1,7.447,2.374,99.567,0.1328,0.032,27117.5,129
jetson_orin_nano,EfficientFormerV2-S0,Hybrid,int8,efficientformerv2_s0_int8.engine,224,750,0.9613,0.962,0.9623,0.9771,0.9438,0,3.092,0.049,3.07,3.159,3.169,3.195,323.37,420.0,7.29,13.96,,,,,,,"{""mendeley_ue"": 0.8857, ""plantvillage"": 0.9907, ""quizhpe"": 1.0, ""tilahun"": 0.9844}",2.962,0.097,0.033,0.0,5.39,6.697,7.012,2.205,93.224,0.1243,0.0243,28962.5,128
jetson_orin_nano,EfficientNetV2-B0,CNN,fp16,efficientnetv2_b0_fp16.engine,224,750,0.9827,0.9829,0.9958,0.9618,0.992,0,2.491,0.055,2.467,2.568,2.577,2.599,401.43,426.7,13.81,13.45,,,,,,,"{""mendeley_ue"": 0.9524, ""plantvillage"": 0.9977, ""quizhpe"": 0.9792, ""tilahun"": 0.9844}",2.364,0.096,0.031,0.0,5.39,6.667,6.893,2.134,89.129,0.1188,0.0228,30293.2,123
jetson_orin_nano,EfficientNetV2-B0,CNN,fp32,efficientnetv2_b0_fp32.engine,224,750,0.9827,0.9829,0.9958,0.9618,0.992,0,3.346,0.05,3.33,3.413,3.423,3.442,298.88,472.7,24.74,14.07,,,,,,,"{""mendeley_ue"": 0.9524, ""plantvillage"": 0.9977, ""quizhpe"": 0.9792, ""tilahun"": 0.9844}",3.215,0.098,0.033,0.0,5.39,7.047,7.408,2.339,98.383,0.1312,0.0308,27443.6,128
jetson_orin_nano,EfficientNetV2-B0,CNN,int8,efficientnetv2_b0_int8.engine,224,750,0.98,0.9802,0.9958,0.9542,0.992,0,2.169,0.052,2.142,2.241,2.247,2.273,461.02,486.6,8.24,13.17,,,,,,,"{""mendeley_ue"": 0.9429, ""plantvillage"": 0.9977, ""quizhpe"": 0.9792, ""tilahun"": 0.9844}",2.045,0.095,0.029,0.0,5.39,6.503,7.21,2.019,85.042,0.1134,0.0194,31749.1,120
jetson_orin_nano,MobileNetV4-Small,CNN,fp16,mobilenetv4_conv_small_fp16.engine,224,750,0.9573,0.9579,0.9874,0.9427,0.9438,1,1.174,0.05,1.15,1.244,1.25,1.263,851.47,486.7,5.54,12.43,,,,,,,"{""mendeley_ue"": 0.8524, ""plantvillage"": 1.0, ""quizhpe"": 0.9792, ""tilahun"": 1.0}",1.05,0.096,0.028,0.0,5.39,6.376,6.615,1.916,78.534,0.1047,0.0162,34380.2,113
jetson_orin_nano,MobileNetV4-Small,CNN,fp32,mobilenetv4_conv_small_fp32.engine,224,750,0.9573,0.9579,0.9874,0.9427,0.9438,1,1.467,0.061,1.438,1.549,1.556,1.572,681.81,487.0,10.57,12.65,,,,,,,"{""mendeley_ue"": 0.8524, ""plantvillage"": 1.0, ""quizhpe"": 0.9792, ""tilahun"": 1.0}",1.342,0.096,0.029,0.0,5.39,6.484,6.774,1.974,81.282,0.1084,0.0183,33217.7,115
jetson_orin_nano,MobileNetV4-Small,CNN,int8,mobilenetv4_conv_small_int8.engine,224,750,0.956,0.9565,0.9874,0.9427,0.9398,2,1.111,0.047,1.09,1.175,1.182,1.203,899.95,483.2,3.43,12.43,,,,,,,"{""mendeley_ue"": 0.8476, ""plantvillage"": 1.0, ""quizhpe"": 0.9792, ""tilahun"": 1.0}",0.984,0.099,0.028,0.0,5.39,6.325,6.497,1.864,77.697,0.1036,0.0153,34750.2,113
jetson_orin_nano,RepViT-M1,Hybrid,fp16,repvit_m1_fp16.engine,224,750,0.9893,0.9895,1.0,0.9924,0.9759,0,2.58,0.051,2.56,2.647,2.656,2.676,387.67,481.6,10.71,13.52,,,,,,,"{""mendeley_ue"": 0.9619, ""plantvillage"": 1.0, ""quizhpe"": 1.0, ""tilahun"": 1.0}",2.451,0.097,0.031,0.0,5.39,6.696,6.932,2.174,89.543,0.1194,0.0233,30153.0,123
