model,true,pred,count
efficientformerv2_s0,healthy,healthy,238
efficientformerv2_s0,healthy,early_blight,1
efficientformerv2_s0,healthy,late_blight,0
efficientformerv2_s0,early_blight,healthy,1
efficientformerv2_s0,early_blight,early_blight,248
efficientformerv2_s0,early_blight,late_blight,13
efficientformerv2_s0,late_blight,healthy,0
efficientformerv2_s0,late_blight,early_blight,14
efficientformerv2_s0,late_blight,late_blight,235
efficientnetv2_b0,healthy,healthy,236
efficientnetv2_b0,healthy,early_blight,2
efficientnetv2_b0,healthy,late_blight,1
efficientnetv2_b0,early_blight,healthy,2
efficientnetv2_b0,early_blight,early_blight,249
efficientnetv2_b0,early_blight,late_blight,11
efficientnetv2_b0,late_blight,healthy,0
efficientnetv2_b0,late_blight,early_blight,10
efficientnetv2_b0,late_blight,late_blight,239
mobilenetv4_conv_small,healthy,healthy,232
mobilenetv4_conv_small,healthy,early_blight,7
mobilenetv4_conv_small,healthy,late_blight,0
mobilenetv4_conv_small,early_blight,healthy,5
mobilenetv4_conv_small,early_blight,early_blight,246
mobilenetv4_conv_small,early_blight,late_blight,11
mobilenetv4_conv_small,late_blight,healthy,0
mobilenetv4_conv_small,late_blight,early_blight,20
mobilenetv4_conv_small,late_blight,late_blight,229
repvit_m1,healthy,healthy,239
repvit_m1,healthy,early_blight,0
repvit_m1,healthy,late_blight,0
repvit_m1,early_blight,healthy,2
repvit_m1,early_blight,early_blight,254
repvit_m1,early_blight,late_blight,6
repvit_m1,late_blight,healthy,0
repvit_m1,late_blight,early_blight,14
repvit_m1,late_blight,late_blight,235
