abs_path,label,class_name,source,md5
/home/victor/Documents/dataset/Plantville/Potato___Early_blight/image (24).JPG,1,early_blight,plantvillage,f1b973ab198e9b7db09bef907607e87c
/home/victor/Documents/dataset/Plantville/Potato___Late_blight/image (242).JPG,2,late_blight,plantvillage,4fbce85661906c425916e31ed00e33dd
/home/victor/Documents/dataset/Plantville/Potato___Late_blight/image (229).JPG,2,late_blight,plantvillage,15f6518926fc2a4ee569ab98ac88324f
/home/victor/Documents/dataset/Plantville/Potato___Late_blight/image (467).JPG,2,late_blight,plantvillage,68932a5a880d5b36c98862029c97ae1f
/home/victor/Documents/dataset/Plantville/Potato___healthy/image (275).JPG,0,healthy,plantvillage,c51a9a525e651cb62dd641378eecee94
/home/victor/Documents/dataset/Plantville/Potato___Early_blight/image (62).JPG,1,early_blight,plantvillage,1298c7271221dc8b0be917d11c8b9726
/home/victor/Documents/dataset/Addis/Potato_Healthy/Healthy (433).jpg,0,healthy,tilahun,7048fb973e55459ee2d96e0053e2103b
/home/victor/Documents/dataset/Plantville/Potato___healthy/image (398).JPG,0,healthy,plantvillage,1c12602f95278ebc53ee2171584bf353
/home/victor/Documents/dataset/mendeley_uncontrolled_Environment/Potato___Late_blight_Phytopthora/20230802_124755.jpg,2,late_blight,mendeley_ue,bb263e1a4a1c00fc42517909dab8f741
/home/victor/Documents/dataset/Plantville/Potato___Early_blight/image (79).JPG,1,early_blight,plantvillage,2626775a23649cd403520fd747358d6b
/home/victor/Documents/dataset/mendeley_uncontrolled_Environment/Potato___Early_blight_Fungi/1692334247616.jpg,1,early_blight,mendeley_ue,b291881e261910ab6483660b90a71e75
/home/victor/Documents/dataset/Plantville/Potato___healthy/image (807).JPG,0,healthy,plantvillage,7448c62bcc1e7a7ea711dc91a956be91
/home/victor/Documents/dataset/mendeley_uncontrolled_Environment/Potato___Early_blight_Fungi/IMG_0873.JPG,1,early_blight,mendeley_ue,7808be123b4cb08d0e6e3716c6685dfc
/home/victor/Documents/dataset/Plantville/Potato___Early_blight/image (491).JPG,1,early_blight,plantvillage,48f62c735b76cb4980a4507bf0136f98
/home/victor/Documents/dataset/Plantville/Potato___healthy/image (944).JPG,0,healthy,plantvillage,cf60fac4a513e835ae43def70a54ef1e
/home/victor/Documents/dataset/GerardoQuizhpe/Potato___Late_blight/IMG_20240806_153418_636_Tizón Tardio_138.jpg,2,late_blight,quizhpe,16bf9b5b79d8ab012ddf0c7e012727bf
/home/victor/Documents/dataset/mendeley_uncontrolled_Environment/Potato___Early_blight_Fungi/IMG_8320.JPG,1,early_blight,mendeley_ue,83036deea6f20d0f456fcd5ca164d2b6
/home/victor/Documents/dataset/Plantville/Potato___Early_blight/image (892).JPG,1,early_blight,plantvillage,8ad48c02a1ba92cc2fcb5f4365e81fa3
/home/victor/Documents/dataset/Plantville/Potato___Early_blight/image (913).JPG,1,early_blight,plantvillage,e901036044682564eac7879904e56496
/home/victor/Documents/dataset/Plantville/Potato___Late_blight/image (592).JPG,2,late_blight,plantvillage,7867a9c69d0766cfb425dcd3aa89e6e9
/home/victor/Documents/dataset/Plantville/Potato___Early_blight/image (695).JPG,1,early_blight,plantvillage,89f7871a92c1442b3d3d3dd39798eb96
/home/victor/Documents/dataset/Plantville/Potato___Early_blight/image (399).JPG,1,early_blight,plantvillage,7a8f8619c94f98a4999c94b57419701a
/home/victor/Documents/dataset/Plantville/Potato___Late_blight/image (194).JPG,2,late_blight,plantvillage,3fd67b4a4bc43f7bd71ab9cbe5001fe5
/home/victor/Documents/dataset/Plantville/Potato___Early_blight/image (331).JPG,1,early_blight,plantvillage,068920ee271778cfd7a7ce071c65b0f4
/home/victor/Documents/dataset/Plantville/Potato___Late_blight/image (829).JPG,2,late_blight,plantvillage,86dffdc805f84dd2480a068e9aeea976
/home/victor/Documents/dataset/mendeley_uncontrolled_Environment/Potato___healthy/20230712_121732.jpg,0,healthy,mendeley_ue,857da002612c78f9a66173ab3f195771
/home/victor/Documents/dataset/Plantville/Potato___healthy/image (743).JPG,0,healthy,plantvillage,282a9a409ff63a26a28bbdc1aea5e6f3
/home/victor/Documents/dataset/Plantville/Potato___Early_blight/image (137).JPG,1,early_blight,plantvillage,6081c77abf6c00e682ab71fa9016d465
/home/victor/Documents/dataset/mendeley_uncontrolled_Environment/Potato___Early_blight_Fungi/20230802_124804236.jpg,1,early_blight,mendeley_ue,ceb0008d505afa5d0b1ae999a69c8ffa
/home/victor/Documents/dataset/Plantville/Potato___healthy/image (649).JPG,0,healthy,plantvillage,805e744b0f85bfdb222129d7af696951
/home/victor/Documents/dataset/mendeley_uncontrolled_Environment/Potato___Early_blight_Fungi/IMG_20230816_082445 (1).jpg,1,early_blight,mendeley_ue,7f4776c16eb9fb4c3825f400c30583d8
/home/victor/Documents/dataset/Plantville/Potato___Early_blight/image (868).JPG,1,early_blight,plantvillage,81e10b8ac9496fb6b3d28fec22ca8601
/home/victor/Documents/dataset/Plantville/Potato___healthy/image (894).JPG,0,healthy,plantvillage,dac3f1b236e892c0d56201bc81bcc4be
/home/victor/Documents/dataset/mendeley_uncontrolled_Environment/Potato___Late_blight_Phytopthora/IMG_0836.JPG,2,late_blight,mendeley_ue,c8392b1400da4c7740c6c676225e6bca
/home/victor/Documents/dataset/mendeley_uncontrolled_Environment/Potato___Late_blight_Phytopthora/20230802_123816600.jpg,2,late_blight,mendeley_ue,665500c077ce1de6a8dec4feca9b2c78
/home/victor/Documents/dataset/mendeley_uncontrolled_Environment/Potato___healthy/20230816_121556.jpg,0,healthy,mendeley_ue,8bc7941ea4f745ee41d8b27c27b73d71
/home/victor/Documents/dataset/Plantville/Potato___Late_blight/image (345).JPG,2,late_blight,plantvillage,61f0041e54d8643f7a8591e938c93543
/home/victor/Documents/dataset/mendeley_uncontrolled_Environment/Potato___Early_blight_Fungi/IMG_0146.JPG,1,early_blight,mendeley_ue,11fec5af4b43f5b73315474a900f15d9
/home/victor/Documents/dataset/Plantville/Potato___Early_blight/image (976).JPG,1,early_blight,plantvillage,f48d5a372adb645e8a8862fac3fd8e00
/home/victor/Documents/dataset/Plantville/Potato___Early_blight/image (707).JPG,1,early_blight,plantvillage,136b6ad4e4241429b7cfa0ef534df417
/home/victor/Documents/dataset/Plantville/Potato___healthy/image (116).JPG,0,healthy,plantvillage,52af546c0d8f6a84c2cf7b07a1dd977a
/home/victor/Documents/dataset/Plantville/Potato___healthy/image (118).JPG,0,healthy,plantvillage,4cbdcfd7f44305071e69852a493689e0
/home/victor/Documents/dataset/Plantville/Potato___Early_blight/image (765).JPG,1,early_blight,plantvillage,3e3e49fc411942727098547a04c271a8
/home/victor/Documents/dataset/Plantville/Potato___Early_blight/image (775).JPG,1,early_blight,plantvillage,a4451aeae370e6e673ca7d5818d94b16
/home/victor/Documents/dataset/Plantville/Potato___Early_blight/image (451).JPG,1,early_blight,plantvillage,51aa1ce94e6ea4480d051e96f278788c
/home/victor/Documents/dataset/Plantville/Potato___Early_blight/image (165).JPG,1,early_blight,plantvillage,a1e0a9425b492d91747a0bf7e0efe316
/home/victor/Documents/dataset/GerardoQuizhpe/Potato___Late_blight/IMG_20240731_161247_092_Tizón Tardio_245.jpg,2,late_blight,quizhpe,5d338f01915dd889a9377c9065c8dca9
/home/victor/Documents/dataset/Plantville/Potato___Late_blight/image (349).JPG,2,late_blight,plantvillage,66c795ea1f81b5f31e5b94abb18a68cb
/home/victor/Documents/dataset/Plantville/Potato___Late_blight/image (532).JPG,2,late_blight,plantvillage,318870e6564ed95122f32195cefc5854
/home/victor/Documents/dataset/Plantville/Potato___Late_blight/image (176).JPG,2,late_blight,plantvillage,71497f1e7cfc2d183d22c1d376510d95
