class,TP,FP,FN,TN,precision,recall,specificity,f1,support,model,scope
healthy,237,8,2,503,0.9673,0.9916,0.9843,0.9793,239,mobilenetv4_conv_small,global
early_blight,239,12,23,476,0.9522,0.9122,0.9754,0.9318,262,mobilenetv4_conv_small,global
late_blight,236,18,13,483,0.9291,0.9478,0.9641,0.9384,249,mobilenetv4_conv_small,global
healthy,36,7,2,165,0.8372,0.9474,0.9593,0.8889,38,mobilenetv4_conv_small,mendeley_ue
early_blight,98,12,21,79,0.8909,0.8235,0.8681,0.8559,119,mobilenetv4_conv_small,mendeley_ue
late_blight,41,16,12,141,0.7193,0.7736,0.8981,0.7455,53,mobilenetv4_conv_small,mendeley_ue
healthy,142,0,0,286,1.0,1.0,1.0,1.0,142,mobilenetv4_conv_small,plantvillage
early_blight,141,0,1,286,1.0,0.993,1.0,0.9965,142,mobilenetv4_conv_small,plantvillage
late_blight,144,1,0,283,0.9931,1.0,0.9965,0.9965,144,mobilenetv4_conv_small,plantvillage
healthy,5,1,0,42,0.8333,1.0,0.9767,0.9091,5,mobilenetv4_conv_small,quizhpe
early_blight,0,0,1,47,0.0,0.0,1.0,0.0,1,mobilenetv4_conv_small,quizhpe
late_blight,41,1,1,5,0.9762,0.9762,0.8333,0.9762,42,mobilenetv4_conv_small,quizhpe
healthy,54,0,0,10,1.0,1.0,1.0,1.0,54,mobilenetv4_conv_small,tilahun
early_blight,0,0,0,64,0.0,0.0,1.0,0.0,0,mobilenetv4_conv_small,tilahun
late_blight,10,0,0,54,1.0,1.0,1.0,1.0,10,mobilenetv4_conv_small,tilahun
healthy,237,3,2,508,0.9875,0.9916,0.9941,0.9896,239,efficientnetv2_b0,global
early_blight,250,11,12,477,0.9579,0.9542,0.9775,0.956,262,efficientnetv2_b0,global
late_blight,239,10,10,491,0.9598,0.9598,0.98,0.9598,249,efficientnetv2_b0,global
healthy,37,3,1,169,0.925,0.9737,0.9826,0.9487,38,efficientnetv2_b0,mendeley_ue
early_blight,107,11,12,80,0.9068,0.8992,0.8791,0.903,119,efficientnetv2_b0,mendeley_ue
late_blight,43,9,10,148,0.8269,0.8113,0.9427,0.819,53,efficientnetv2_b0,mendeley_ue
healthy,142,0,0,286,1.0,1.0,1.0,1.0,142,efficientnetv2_b0,plantvillage
early_blight,142,0,0,286,1.0,1.0,1.0,1.0,142,efficientnetv2_b0,plantvillage
late_blight,144,0,0,284,1.0,1.0,1.0,1.0,144,efficientnetv2_b0,plantvillage
healthy,5,0,0,43,1.0,1.0,1.0,1.0,5,efficientnetv2_b0,quizhpe
early_blight,1,0,0,47,1.0,1.0,1.0,1.0,1,efficientnetv2_b0,quizhpe
late_blight,42,0,0,6,1.0,1.0,1.0,1.0,42,efficientnetv2_b0,quizhpe
healthy,53,0,1,10,1.0,0.9815,1.0,0.9907,54,efficientnetv2_b0,tilahun
early_blight,0,0,0,64,0.0,0.0,1.0,0.0,0,efficientnetv2_b0,tilahun
late_blight,10,1,0,53,0.9091,1.0,0.9815,0.9524,10,efficientnetv2_b0,tilahun
healthy,239,3,0,508,0.9876,1.0,0.9941,0.9938,239,efficientformerv2_s0,global
early_blight,252,14,10,474,0.9474,0.9618,0.9713,0.9545,262,efficientformerv2_s0,global
late_blight,235,7,14,494,0.9711,0.9438,0.986,0.9572,249,efficientformerv2_s0,global
healthy,38,3,0,169,0.9268,1.0,0.9826,0.962,38,efficientformerv2_s0,mendeley_ue
early_blight,109,14,10,77,0.8862,0.916,0.8462,0.9008,119,efficientformerv2_s0,mendeley_ue
late_blight,39,7,14,150,0.8478,0.7358,0.9554,0.7879,53,efficientformerv2_s0,mendeley_ue
healthy,142,0,0,286,1.0,1.0,1.0,1.0,142,efficientformerv2_s0,plantvillage
early_blight,142,0,0,286,1.0,1.0,1.0,1.0,142,efficientformerv2_s0,plantvillage
late_blight,144,0,0,284,1.0,1.0,1.0,1.0,144,efficientformerv2_s0,plantvillage
healthy,5,0,0,43,1.0,1.0,1.0,1.0,5,efficientformerv2_s0,quizhpe
early_blight,1,0,0,47,1.0,1.0,1.0,1.0,1,efficientformerv2_s0,quizhpe
late_blight,42,0,0,6,1.0,1.0,1.0,1.0,42,efficientformerv2_s0,quizhpe
healthy,54,0,0,10,1.0,1.0,1.0,1.0,54,efficientformerv2_s0,tilahun
early_blight,0,0,0,64,0.0,0.0,1.0,0.0,0,efficientformerv2_s0,tilahun
late_blight,10,0,0,54,1.0,1.0,1.0,1.0,10,efficientformerv2_s0,tilahun
healthy,234,2,5,509,0.9915,0.9791,0.9961,0.9853,239,repvit_m1,global
early_blight,248,15,14,473,0.943,0.9466,0.9693,0.9448,262,repvit_m1,global
late_blight,237,14,12,487,0.9442,0.9518,0.9721,0.948,249,repvit_m1,global
healthy,35,2,3,170,0.9459,0.9211,0.9884,0.9333,38,repvit_m1,mendeley_ue
early_blight,105,14,14,77,0.8824,0.8824,0.8462,0.8824,119,repvit_m1,mendeley_ue
late_blight,42,12,11,145,0.7778,0.7925,0.9236,0.785,53,repvit_m1,mendeley_ue
healthy,141,0,1,286,1.0,0.993,1.0,0.9965,142,repvit_m1,plantvillage
